"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT13","WT14","WT16","WT17","WT18","WT21","WT22"
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-24","11.18"," 1301"," 1438","0.00",,"0.0","0.0",,"87","62",,"  230","  210","21.9","25.9","    1",,,,,,,"    1",,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-25","10.07"," 0801"," 2242","0.00",,"0.0","0.0",,"84","66",,"  230","  180","17.9","23.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-26","10.29"," 1711"," 1710","0.00",,"0.0","0.0",,"83","68",,"  190","  190","17.9","25.1",,,"    1",,,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-27","12.97"," 1231"," 1231","0.21",,"0.0","0.0",,"87","68",,"  230","  230","30.0","40.9","    1",,"    1",,,,,,"    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-28","15.21"," 1105"," 1100","0.01",,"0.0","0.0",,"78","61",,"  220","  210","31.1","40.0",,,"    1",,,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-29","5.14"," 1354"," 1226","0.00",,"0.0","0.0",,"76","52",,"  240","  250","17.9","25.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-30","3.13"," 1317"," 1244","0.00",,"0.0","0.0",,"77","46",,"  320","  350","10.1","15.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-05-01","5.14"," 0744"," 0743","0.00",,"0.0","0.0",,"75","54",,"  130","  130","14.1","17.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-05-02","7.16"," 1431"," 1102","0.00",,"0.0","0.0",,"83","56",,"  240","  250","17.0","23.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-05-03","11.41"," 1612"," 1611","0.00",,"0.0","0.0",,"85","63",,"  230","  240","21.9","25.1",,,"    1",,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-05-04","5.82"," 0422"," 0421","0.67",,"0.0","0.0",,"71","50",,"  340","  330","17.0","29.1","    1",,"    1",,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-05-05","3.13"," 1726"," 1725","0.00",,"0.0","0.0",,"68","42",,"  230","  250","13.0","19.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-05-06","7.61"," 1425"," 1424","0.30",,"0.0","0.0",,"72","44",,"  210","  210","19.9","25.9","    1",,,,,,,"    1",,"    1",,,,
