rank,city,state,estimate2019,census2010,change,land_area2016,land_area2016_2,population_density2016,population_density2016_2,lat,long,other
167,Springfield,Massachusetts,153606,153060,0.36,31.9 sq mi,82.6 km2,"4,830/sq mi","1,860/km2",42.115500000000004,-72.54,Springfield)
168,Macon[w],Georgia,153159,91351,67.66,249.3 sq mi,645.7 km2,612/sq mi,236/km2,32.8088,-83.69420000000001,Macon)
169,Kansas City[x],Kansas,152960,145786,4.92,124.8 sq mi,323.2 km2,"1,216/sq mi",470/km2,39.12250000000001,-94.74180000000001,Kansas City)
170,Sunnyvale,California,152703,140081,9.01,22.0 sq mi,57.0 km2,"6,944/sq mi","2,681/km2",37.385799999999996,-122.02629999999999,Sunnyvale)
171,Pomona,California,151691,149058,1.77,23.0 sq mi,59.6 km2,"6,630/sq mi","2,560/km2",34.0585,-117.76110000000001,Pomona)
172,Killeen,Texas,151666,127921,18.56,53.5 sq mi,138.6 km2,"2,680/sq mi","1,030/km2",31.0777,-97.732,Killeen)
173,Escondido,California,151625,143911,5.359999999999999,37.1 sq mi,96.1 km2,"4,087/sq mi","1,578/km2",33.133100000000006,-117.074,Escondido)
174,Pasadena,Texas,151227,149043,1.47,43.5 sq mi,112.7 km2,"3,525/sq mi","1,361/km2",29.6586,-95.1506,Pasadena)
175,Naperville,Illinois,148449,141853,4.6499999999999995,38.7 sq mi,100.2 km2,"3,802/sq mi","1,468/km2",41.7492,-88.16199999999999,Naperville)
176,Bellevue,Washington,148164,122363,21.09,33.5 sq mi,86.8 km2,"4,221/sq mi","1,630/km2",47.5979,-122.1565,Bellevue)
177,Joliet,Illinois,147344,147433,0.06,64.4 sq mi,166.8 km2,"2,302/sq mi",889/km2,41.5177,-88.1488,Joliet)
178,Murfreesboro,Tennessee,146900,108755,35.07,55.9 sq mi,144.8 km2,"2,360/sq mi",910/km2,35.852199999999996,-86.41600000000001,Murfreesboro)
179,Midland,Texas,146038,111147,31.39,74.4 sq mi,192.7 km2,"1,809/sq mi",698/km2,32.0246,-102.1135,Midland)
180,Rockford,Illinois,145609,152871,4.75,63.5 sq mi,164.5 km2,"2,325/sq mi",898/km2,42.2588,-89.06460000000001,Rockford)
